samples,P1,P11,P12,P14,P15,P16,P18,P2,P22,P24,P26,P27,P29,P3,P30,P4,P5,P6,P9,
4606,0,0,0,0,0,1.224489796,0,0.600693107,0,0,0,0,0,0,0,0,0,0,0,
3364,0.07624857,1.301390121,0,0.006588483,0.34243715,0.005830904,0,0,0.459183673,0.1069192,0.04040404,0.013618412,0,0.201901237,0,0,0.029222677,0.388710495,0.0059988,
4449,0,0,0,0,0.785099808,0,0.007182876,0,0,0,0.707070707,0.994144083,0,0,0.190095998,0,0,0,0,
5800,0,0.009859016,0.085812357,0.184477533,0.40090203,0.489795918,0.100560264,0.038505968,0.306122449,0,0.141414141,0,0.095856854,0.10936317,0,0,0.409117475,0.13520365,0.089982004,
4678,0,0,0,0.21741995,0.258915894,0.454810496,0.07182876,0.061609549,0.178571429,0,0.141414141,0,0.106507615,0.159838479,0,0,0.292226768,0.152104107,0.089982004,
3178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75764847,
5438,0.012708095,0.266193434,0.200228833,0,0,0,0,0.35425491,0.12755102,0,0.111111111,0,0.266269038,0,0.399201597,0.596113016,0,0.177454791,0.113977205,
3817,0.10166476,0.187321305,0.057208238,0.1976545,0.100225507,0,0.172389025,0.177127455,0.306122449,0.229112571,0.01010101,0.503881247,0.127809138,0.042062758,0.190095998,0.195982362,0,0.169004563,0.071985603,
5777,0,0,0,0.2371854,0.26726802,0.396501458,0.136474644,0.053908356,0.102040816,0,0.131313131,0,0.085206092,0.168251031,0,0.008165932,0.292226768,0.126753422,0.107978404,
3699,0,0,0,0,0,0,0.007182876,0,0,0,2.818181818,0,0,0,0,0,0,0,0,
5973,0,0.207039337,0.200228833,0,0,0.005830904,0,0.385059684,0.153061224,0,0.202020202,0,0.255618277,0,0.351677597,0.538951494,0,0.236606388,0.131973605,
5776,0,0.009859016,0,0.29648175,0.300676522,0.38483965,0.122108892,0.061609549,0.153061224,0.007637086,0.161616162,0,0.085206092,0.126188273,0,0,0.233781414,0.076052053,0.119976005,
5655,0.088956665,0.157744257,0.257437071,0.17788905,0.242211643,0,0.179571901,0.231035811,0.153061224,0.213838399,0,0.463026011,0.127809138,0.025237655,0.180591199,0.097991181,0,0.185905019,0.041991602,
5900,0,0,0,0,0,0.093294461,0.59617871,0.061609549,0,0.473499313,0,0,0,0.370152267,0,0.261309815,0,0,0.233953209,
3815,0.088956665,0.197180321,0.228832952,0.17788905,0.141986135,0,0.150840396,0.169426261,0.178571429,0.274935085,0,0.408552363,0.106507615,0,0.209105598,0.138820839,0,0.143653879,0.053989202,
4956,0,0,0,0,0,0.064139942,0.430972561,0.046207162,0,0.473499313,0,0,0.010650762,0.563640952,0,0.342969133,0,0,0.173965207,
3744,0,0,0,0,0,1.15451895,0,0.623796688,0,0,0,0,0,0,0,0,0,0,0,
4370,0.07624857,0.22675737,0.114416476,0.2371854,0.175394638,0,0.129291768,0.269541779,0.255102041,0.206201314,0,0.32684189,0.063904569,0.008412552,0.171086399,0.114323044,0,0.185905019,0.071985603,
4936,0.012708095,0.009859016,0,0,0,0.052478134,0.52434995,0.038505968,0,0.504047655,0,0,0,0.580466055,0,0.195982362,0,0,0.191961608,
4957,0,0,0,0,0,0.12244898,0.409423933,0.023103581,0,0.565144341,0.01010101,0,0,0.462690334,0,0.334803201,0,0,0.155968806,
5798,0,0,0.057208238,0.164712083,0.359141401,0.518950437,0.079011636,0.053908356,0.076530612,0,0.090909091,0,0.063904569,0.159838479,0,0,0.292226768,0.13520365,0.089982004,
3588,0,0,0,0,0,0.075801749,0.452521189,0.061609549,0,0.450588056,0,0,0,0.462690334,0,0.302139474,0,0,0.221955609,
3846,0.177913331,0.216898354,0.228832952,0.1976545,0.141986135,0,0.150840396,0.200231036,0.255102041,0.297846342,0,0.340460302,0.117158377,0.025237655,0.114057599,0.089825249,0,0.185905019,0.029994001,
5417,0,0.187321305,0.28604119,0,0,0,0,0.446669234,0.12755102,0.007637086,0.171717172,0,0.223665992,0,0.323163197,0.506287767,0,0.185905019,0.083983203,
4990,0,0.009859016,0,0,0,0.04664723,0.330412297,0.023103581,0,0.404765541,0,0,0,0.639353916,0,0.326637269,0.029222677,0,0.24595081,
4091,2.033295209,0,0,0,0,0,0,0,0,0,0.474747475,0,0,0,0,0,0,0,0,
1087,0,0,0,0,0,0,1.637695733,0,0,0,0,0,0,0,0,0,0,0,0,
3740,0,0,0.028604119,0,0,1.148688047,0,0.531382364,0,0,0,0,0,0,0,0,0,0,0,
2470,0,0,0,0,0,0,0,0,0.025510204,0,0,0,0,0,2.224123182,0,0,0,0,
5373,0,0,0,0,0,0.04664723,0.351960925,0.030804775,0,0.465862227,0,0,0,0.546815849,0,0.310305406,0,0,0.155968806,
5299,0,0,0,0,0,1.049562682,0,0.700808625,0,0,0,0,0,0,0,0,0,0,0,
2380,0.521031897,0,0,0.21741995,0.141986135,0.011661808,0,0.061609549,0,0.007637086,0.303030303,0,0.362125892,0.269201649,0,0,0,0.025350684,0,
5541,0.088956665,0.167603273,0.228832952,0.2371854,0.083521256,0,0.10774314,0.200231036,0.204081633,0.252023828,0,0.449407599,0.063904569,0.033650206,0.161581599,0.114323044,0,0.169004563,0.035992801,
4611,0,0.009859016,0,0,0,1.15451895,0,0.515979977,0.025510204,0,0,0,0,0,0,0,0,0,0,
3237,0,0,0,0.25695085,0.150338261,0.483965015,0.136474644,0.046207162,0.178571429,0,0.181818182,0,0.085206092,0.21872634,0,0,0.321449445,0.025350684,0.101979604,
564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.601679664,
4651,0,0,0,0.243773883,0.26726802,0.367346939,0.093377388,0.015402387,0.12755102,0.007637086,0.080808081,0,0.127809138,0.126188273,0,0,0.350672122,0.09295251,0.089982004,
1223,0.749777608,0,0,0.382132033,0.116929759,0,0,0.053908356,0,0,0.313131313,0,0.319522846,0.395389922,0,0,0,0,0,
4861,0,0,0,0,0,0,0,0,0,0,0,3.636116029,0,0,0,0,0,0.008450228,0,
4887,0,0.177462289,0.228832952,0,0,0,0,0.369657297,0.178571429,0,0.181818182,0.013618412,0.319522846,0,0.361182397,0.42462845,0,0.143653879,0.113977205,
4841,0.038124285,1.1042098,0,0,0.300676522,0,0,0.007701194,0.357142857,0.114556285,0.01010101,0.013618412,0,0.159838479,0,0,0.058445354,0.41406118,0,
3741,0,0,0,0,0,1.072886297,0,0.554485945,0,0,0,0,0,0,0,0,0,0,0.0059988,
3179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.559688062,
4240,0.559156182,0,0,0.25695085,0.066817005,0,0,0.069310743,0.025510204,0,0.222222222,0,0.255618277,0.269201649,0,0,0,0,0,
3718,0,0,0,0.01976545,0,0,0,0,0.076530612,0,0.01010101,0,0,0,2.271647182,0,0,0,0,
4184,0,0.167603273,0.257437071,0,0,0,0,0.315748941,0.12755102,0,0.131313131,0,0.202364469,0,0.361182397,0.42462845,0,0.109852966,0.053989202,
3240,0,0,0.057208238,0.1976545,0.141986135,0.408163265,0.100560264,0.053908356,0.229591837,0,0.232323232,0,0.106507615,0.201901237,0,0,0.321449445,0.042251141,0.089982004,
2002,0.139789046,0.157744257,0.085812357,0.1581236,0.083521256,0,0.093377388,0.138621486,0.153061224,0.229112571,0.050505051,0.231513006,0.085206092,0.126188273,0.076038399,0.106157113,0,0.13520365,0.041991602,
3138,0,0,0,0,0,0.064139942,0.308863669,0.038505968,0,0.366580113,0,0,0,0.471102886,0,0.302139474,0,0,0.24595081,
4523,0,0,0,0,0,0.985422741,0,0.492876396,0,0,0,0,0,0,0,0,0,0,0,
5496,0.063540475,0.147885241,0.143020595,0.125181183,0.200451015,0,0.093377388,0.169426261,0.229591837,0.259660913,0,0.381315539,0.074555331,0.058887861,0.104552799,0.097991181,0,0.09295251,0.059988002,
3587,0,0,0,0,0,0.058309038,0.344778049,0.038505968,0,0.381854284,0,0,0,0.513165643,0,0.212314225,0.029222677,0,0.185962807,
2881,0.02541619,0,0,0,0,0,0,0,0,0,0,0.013618412,0,0,0,0,6.545879603,0,0,
5283,0,0.118308193,0,0,0.47607116,0,0.014365752,0.023103581,0.204081633,0.076370857,0.222222222,0.163420945,0.639045692,0,0.0095048,0,0,0.312658442,0.119976005,
5928,0,0.147885241,0.257437071,0,0,0,0.007182876,0.215633423,0.076530612,0,0.101010101,0,0.319522846,0,0.389696797,0.506287767,0.029222677,0.169004563,0.107978404,
5128,0,0.167603273,0.400457666,0,0,0,0,0.269541779,0.12755102,0,0.131313131,0,0.191713708,0,0.285143998,0.506287767,0,0.126753422,0.131973605,
3604,2.020587114,0,0,0,0,0,0,0,0,0,0.686868687,0,0,0,0,0,0,0,0,
5436,0,0.216898354,0.228832952,0,0,0,0,0.29264536,0.102040816,0,0.181818182,0,0.213015231,0,0.237619998,0.457292177,0,0.143653879,0.095980804,
4743,0,0,0,0.270127817,0.192098889,0.425655977,0.093377388,0.030804775,0.229591837,0,0.121212121,0,0.106507615,0.151425927,0,0,0.409117475,0.042251141,0.095980804,
6208,0,0,0.028604119,0.224008433,0.091873382,0.448979592,0.114926016,0.046207162,0.12755102,0,0.202020202,0,0.117158377,0.126188273,0,0,0.350672122,0.042251141,0.131973605,
5992,0,0.236616386,0.257437071,0,0,0,0,0.35425491,0.076530612,0,0.151515152,0,0.213015231,0,0.370687197,0.37563286,0,0.118303194,0.107978404,
4630,0,0,0,0,0,0.991253644,0,0.454370427,0,0,0,0,0,0,0,0,0,0,0,
1234,0.800609989,0,0,0.283304783,0.100225507,0,0,0.084713131,0,0,0.313131313,0,0.2769198,0.260789097,0.0190096,0,0.029222677,0,0,
5197,0.533739992,0,0,0.322835683,0.116929759,0.005830904,0.064645884,0.053908356,0,0.007637086,0.212121212,0,0.244967515,0.294439303,0,0,0.467562829,0,0.0059988,
5194,0.584572373,0,0,0.230596917,0.083521256,0,0.021548628,0.061609549,0,0,0.272727273,0.013618412,0.202364469,0.21872634,0.0095048,0,1.139684395,0,0,
6207,0,0,0.057208238,0.243773883,0.175394638,0.425655977,0.07182876,0.030804775,0.051020408,0,0.161616162,0,0.1384599,0.159838479,0,0,0.321449445,0.084502282,0.095980804,
4011,0,0,0.028604119,0.17788905,0.275620145,0.268221574,0.114926016,0.023103581,0.153061224,0,0.171717172,0,0.1384599,0.168251031,0,0,0.350672122,0.059151597,0.131973605,
3480,0.038124285,0.108449177,0.143020595,0.171300567,0.13363401,0,0.093377388,0.192529842,0.153061224,0.198564228,0.01010101,0.394933951,0.159761423,0,0.0380192,0.122488976,0,0.185905019,0.053989202,
2947,0,0,6.550343249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4937,0,0,0,0,0,0.064139942,0.229852033,0.038505968,0,0.404765541,0,0,0,0.614116261,0,0.277641679,0,0,0.143971206,
6075,0,0,0,0,0,0.069970845,0.337595173,0.038505968,0,0.465862227,0,0,0,0.38697737,0,0.228646089,0,0,0.137972406,
5846,0,0,0.028604119,0.184477533,0.250563768,0.326530612,0.093377388,0.077011937,0.12755102,0,0.161616162,0,0.021301523,0.159838479,0,0,0.204558738,0.118303194,0.065986803,
3844,0.660820943,0.009859016,0,0.29648175,0.150338261,0.005830904,0,0.053908356,0.025510204,0,0.393939394,0,0.202364469,0.353327164,0,0,0,0,0,
5540,0.597280468,0,0,0.204242983,0.075169131,0.011661808,0,0.023103581,0,0,0.212121212,0,0.202364469,0.176663582,0,0,0.029222677,0,0,
1235,0,0,0,0.006588483,0,0,0,0,0.535714286,0.236749656,0,0.149802533,0.798807115,0,0,0,0,0,0.227954409,
4541,0,0,0,0,1.302931596,0,0,0,0,0,0,0,0,0,0,0,0,0.490113233,0.017996401,
3798,0,0,0,0,1.269523094,0,0,0,0,0,0,0,0.010650762,0,0,0.016331863,0,0.490113233,0.0119976,
3221,0,0,0,0.17788905,0.158690387,0.437317784,0.093377388,0.030804775,0.204081633,0,0.080808081,0,0.106507615,0.143013376,0,0.008165932,0.233781414,0.067601825,0.143971206,
6039,0,0,0.114416476,0.21741995,0.108577633,0.355685131,0.093377388,0.015402387,0.229591837,0,0.181818182,0,0.085206092,0.10936317,0,0.008165932,0.321449445,0.076052053,0.101979604,
4539,0,0,0,0.164712083,0.100225507,0.448979592,0.114926016,0.046207162,0.153061224,0,0.191919192,0,0.031952285,0.151425927,0,0,0.526008182,0.050701369,0.107978404,
3465,0,0,0,0,0,0.087463557,0.301680793,0.030804775,0,0.397128456,0,0,0,0.344914613,0,0.204148293,0,0,0.113977205,
4744,0,0,0.028604119,0.230596917,0.150338261,0.413994169,0.150840396,0.053908356,0.076530612,0,0.171717172,0,0.063904569,0.10936317,0,0.008165932,0.292226768,0.050701369,0.083983203,
4584,0,0,0,0,0.008352126,0.956268222,0,0.431266846,0,0,0,0,0,0,0,0,0,0,0,
4521,0,0,0.028604119,0,0,0.903790087,0,0.485175202,0,0,0,0,0,0,0,0,0,0,0,
5041,0,0,0,0,0,0.093294461,0.280132165,0.046207162,0,0.244386742,0,0.013618412,0,0.49634054,0,0.18781643,0.029222677,0,0.179964007,
4598,0,0,0,0,0,0.84548105,0,0.546784752,0,0,0,0,0,0,0,0,0,0,0,
3812,0.088956665,0.147885241,0.114416476,0.151535117,0.183746764,0,0.122108892,0.123219099,0.12755102,0.190927142,0,0.32684189,0.085206092,0.008412552,0.104552799,0.097991181,0,0.152104107,0.017996401,
4469,0.07624857,0.818298334,0,0,0.200451015,0,0.007182876,0.007701194,0.586734694,0.091645028,0.060606061,0.013618412,0,0.10936317,0,0,0,0.253506845,0,
3946,0,0,0,0,0,0.810495627,0,0.408163265,0,0,0,0,0,0,0,0,0,0,0,
4991,0,0,0,0,0,0.040816327,0.272949289,0.038505968,0,0.397128456,0,0,0,0.504753092,0,0.171484566,0.029222677,0,0.149970006,
6010,0.063540475,0.098590161,0.057208238,0.131769667,0.175394638,0,0.064645884,0.130920293,0.12755102,0.221475485,0,0.435789187,0.074555331,0.016825103,0.133067199,0.089825249,0,0.143653879,0.017996401,
5945,0,0.177462289,0.200228833,0,0,0,0,0.238737004,0.051020408,0,0.121212121,0,0.181062946,0.008412552,0.313658397,0.506287767,0,0.160554335,0.065986803,
5396,0.05083238,0.87745243,0,0.006588483,0.20880314,0,0,0.007701194,0.433673469,0.076370857,0.050505051,0,0,0.151425927,0,0.008165932,0,0.261957073,0,
5226,0.381242852,0.009859016,0.028604119,0.303070233,0.050112754,0.005830904,0,0.061609549,0,0,0.404040404,0,0.181062946,0.260789097,0.0095048,0.008165932,0.672121566,0.008450228,0,
5021,0,0,0,0,0,0,0,0,0,0,0,0,0,1.791873475,0,0,0,0,0.0119976,
3614,0,0.187321305,0.200228833,0,0,0,0,0.261840585,0.076530612,0,0.080808081,0,0.170412184,0.008412552,0.313658397,0.318471338,0,0.194355248,0.101979604,
1316,0,0,0,0,0,0.052478134,0.344778049,0.015402387,0,0.313120513,0,0,0,0.429040128,0,0.244977952,0,0,0.143971206,
5715,0.088956665,0.22675737,0.114416476,0.1581236,0.108577633,0,0.129291768,0.161725067,0.255102041,0.152741714,0,0.285986654,0.031952285,0.016825103,0.066533599,0.065327454,0,0.126753422,0.035992801,
5398,0.05083238,0.916888495,0,0.006588483,0.13363401,0.005830904,0,0,0.357142857,0.099282114,0.01010101,0.013618412,0,0.117775721,0,0,0,0.354909583,0,
6176,0.02541619,0.138026225,0.143020595,0.164712083,0.066817005,0,0.07182876,0.161725067,0.255102041,0.160378799,0,0.354078714,0.106507615,0.033650206,0.152076799,0.097991181,0,0.126753422,0.029994001,
6093,0.038124285,0.118308193,0.085812357,0.151535117,0.125281884,0,0.129291768,0.138621486,0.153061224,0.198564228,0,0.354078714,0.074555331,0.008412552,0.133067199,0.114323044,0,0.13520365,0.0119976,
5440,0,0.147885241,0.057208238,0,0,0,0,0.254139392,0.051020408,0,0.141414141,0,0.159761423,0.008412552,0.323163197,0.342969133,0,0.143653879,0.071985603,
5195,0.482907612,0,0,0.224008433,0.091873382,0.005830904,0.050280132,0.046207162,0,0,0.252525253,0,0.255618277,0.235551443,0,0.016331863,0.467562829,0,0,
6109,0.711653323,0,0,0.29648175,0.100225507,0.017492711,0,0.046207162,0,0,0.262626263,0,0.266269038,0.235551443,0,0.008165932,0,0,0,
5064,0,0.128167209,0.200228833,0,0,0,0,0.207932229,0.12755102,0,0.060606061,0,0.202364469,0,0.370687197,0.400130655,0,0.152104107,0.089982004,
4676,0,0,0.028604119,0.09882725,0.225507392,0.285714286,0.050280132,0.023103581,0.076530612,0,0.121212121,0,0.053253808,0.159838479,0,0,0.292226768,0.109852966,0.035992801,
3042,0,0,0.028604119,0,0,0.868804665,0,0.369657297,0,0,0,0,0,0,0,0,0,0,0,
2474,0,0,0,0,0,0,1.242637552,0,0,0,0,0,0,0,0,0,0,0,0,
5914,0.012708095,0.009859016,0,0,0,0.040816327,0.316046545,0.030804775,0,0.381854284,0,0.013618412,0,0.336502061,0,0.171484566,0,0,0.095980804,
3194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.193761248,
4924,0,0,0,0,0,0.075801749,0.323229421,0.030804775,0,0.44295097,0,0,0,0.286026752,0,0.171484566,0,0,0.119976005,
4300,0.432075232,0,0,0.204242983,0.075169131,0.005830904,0,0.061609549,0,0,0.232323232,0,0.202364469,0.227138891,0,0,0,0,0,
6230,0.038124285,0.857734398,0,0,0.192098889,0,0,0,0.382653061,0.1069192,0.01010101,0,0,0.10936317,0,0,0,0.329558898,0,
4581,0,0,0,0,0,0.84548105,0,0.392760878,0,0,0,0,0,0,0,0,0,0,0,
5105,0,0.098590161,0.228832952,0,0,0,0,0.223334617,0.153061224,0,0.151515152,0,0.127809138,0,0.285143998,0.457292177,0,0.09295251,0.047990402,
5625,0,0,0,0,0,0.005830904,0.007182876,0.007701194,0,1.466320452,0,0,0,0,0.0095048,0.016331863,0,0,0,
5728,1.15643665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029222677,0.802771675,0,
5007,0,0,0,0,0,0.052478134,0.301680793,0.023103581,0,0.427676799,0,0,0,0.311264406,0,0.195982362,0,0,0.137972406,
4597,0,0,0,0,0.008352126,0.897959184,0,0.315748941,0,0,0,0,0,0,0,0,0,0,0,
5463,0.546448087,0,0,0.309658717,0.083521256,0.005830904,0,0.038505968,0,0,0.262626263,0,0.234316754,0.302851855,0.0095048,0,0,0,0,
5006,0,0,0,0,0,0.04664723,0.337595173,0.015402387,0,0.351305942,0,0,0,0.370152267,0,0.18781643,0.029222677,0,0.119976005,
6056,0,0,0,0,0,0.052478134,0.222669157,0.023103581,0,0.244386742,0,0,0,0.412215025,0,0.228646089,0,0,0.149970006,
3768,0,0,0,0,1.144241209,0.005830904,0.007182876,0,0,0,0,0,0,0,0,0,0,0.380260267,0,
3056,0,0,0,0.144946633,0.158690387,0.332361516,0.093377388,0.023103581,0.102040816,0,0.161616162,0,0.095856854,0.126188273,0,0,0.146113384,0.042251141,0.047990402,
3264,0.508323802,0,0,0.289893267,0.116929759,0,0,0.084713131,0,0,0.232323232,0,0.213015231,0.286026752,0,0,0,0.008450228,0,
562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.079784043,
5823,0,0.009859016,0.028604119,0.184477533,0.116929759,0.326530612,0.07182876,0.015402387,0.076530612,0,0.191919192,0,0.106507615,0.100950618,0,0,0.233781414,0.067601825,0.053989202,
5481,0.648112848,0.009859016,0,0.21741995,0.091873382,0.005830904,0,0.038505968,0,0.007637086,0.131313131,0,0.223665992,0.260789097,0,0,0,0,0,
5356,0,0,0.028604119,0.164712083,0.116929759,0.33819242,0.129291768,0.007701194,0.178571429,0,0.181818182,0,0.063904569,0.067300412,0,0,0.146113384,0.016900456,0.083983203,
5693,0.038124285,0.177462289,0.114416476,0.105415733,0.066817005,0,0.10774314,0.069310743,0.153061224,0.160378799,0,0.313223478,0.053253808,0.016825103,0.095047999,0.089825249,0.029222677,0.09295251,0.023995201,
3769,0,0,0,0,1.0106072,0.005830904,0,0,0,0,0,0,0,0,0.0095048,0,0.029222677,0.397160723,0.0059988,
5252,0.381242852,0,0,0.164712083,0.050112754,0,0.043097256,0.038505968,0,0,0.161616162,0,0.181062946,0.185076134,0.0190096,0,1.198129749,0,0,
1084,0,0,0,0,0,0,1.26418618,0,0,0,0,0,0,0,0,0,0,0,0,
6111,0.355826662,0,0,0.29648175,0.075169131,0,0,0.092414324,0,0,0.282828283,0,0.170412184,0.311264406,0,0,0.029222677,0.025350684,0,
5399,0.038124285,0.77886227,0,0,0.13363401,0,0,0,0.408163265,0.137467542,0.02020202,0.027236824,0,0.10936317,0,0,0,0.194355248,0,
3674,0,0.147885241,0.200228833,0.006588483,0,0,0,0.29264536,0.051020408,0,0.101010101,0,0.170412184,0,0.228115198,0.277641679,0,0.101402738,0.065986803,
6038,0,0,0,0.144946633,0.083521256,0.309037901,0.129291768,0.023103581,0.076530612,0,0.171717172,0,0.106507615,0.117775721,0,0,0.204558738,0.025350684,0.083983203,
5244,0.292286186,0,0,0.243773883,0.025056377,0,0.057463008,0.030804775,0,0,0.151515152,0,0.202364469,0.210313788,0,0,1.022793688,0,0,
3314,0.02541619,0.798580302,0,0,0.192098889,0.005830904,0,0,0.204081633,0.061096686,0.050505051,0.013618412,0,0.058887861,0,0,0,0.236606388,0,
3238,0,0,0,0.105415733,0.108577633,0.309037901,0.086194512,0.023103581,0.153061224,0,0.181818182,0,0.085206092,0.10936317,0,0,0.204558738,0.076052053,0.089982004,
4782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.025794841,
606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.031793641,
4205,0.444783327,0,0,0.13835815,0.075169131,0,0,0.053908356,0,0,0.222222222,0,0.191713708,0.185076134,0.0095048,0,0.613676213,0.008450228,0,
4065,0.444783327,0,0,0.171300567,0.083521256,0,0,0.046207162,0,0,0.171717172,0,0.191713708,0.193488685,0,0,0.847457627,0.008450228,0,
5335,0,0,0,0.17788905,0.125281884,0.297376093,0.079011636,0.023103581,0.051020408,0,0.090909091,0,0.074555331,0.151425927,0,0,0.146113384,0.016900456,0.059988002,
5302,0,0,0,0,0,0.740524781,0,0.338852522,0,0,0,0,0,0,0,0,0,0,0,
5286,0,0.078872129,0,0,0.242211643,0,0.007182876,0.007701194,0.025510204,0.0534596,0.131313131,0.108947297,0.617744169,0.016825103,0,0,0,0.253506845,0.077984403,
4512,0,0,0,0,0.459366909,0,0,0,0.025510204,0.022911257,0.494949495,0.531118072,0,0,0.190095998,0,0,0,0,
3698,0,0,0,0,0,0,0,0,0,0,1.646464646,0,0,0,0,0,0,0,0,
3304,1.08018808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058445354,0.676018252,0,
6233,0.063540475,0.709849157,0,0,0.183746764,0,0,0.007701194,0.12755102,0.145104628,0.050505051,0,0,0.143013376,0,0,0,0.185905019,0,
4498,0,0.719708173,0,0,0.125281884,0,0,0,0.153061224,0.1069192,0.03030303,0,0,0.117775721,0,0,0,0.261957073,0,
3365,0.02541619,0.680272109,0,0,0.141986135,0.005830904,0,0,0.229591837,0.076370857,0.04040404,0.013618412,0,0.067300412,0,0,0,0.304208214,0.0059988,
605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.929814037,
4874,0,0,0,0,0.409254155,0,0,0,0,0,0.565656566,0.544736484,0,0,0.123562399,0,0,0,0,
4397,0,0,0,0.994860983,0,0,0,0,0.025510204,0,0,0,0,0,0,0,0,0.008450228,0,
2443,0,0,0,1.001449466,0,0,0,0,0,0,0,0,0,0,0.0095048,0,0,0.008450228,0,
5727,0.826026179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058445354,0.667568024,0,
5564,0.393950947,0.009859016,0,0.184477533,0.075169131,0,0,0.030804775,0,0,0.191919192,0,0.191713708,0.269201649,0,0,0,0,0.0119976,
4707,0.012708095,0,0,0.0790618,0.141986135,0.233236152,0.057463008,0.046207162,0.153061224,0,0.131313131,0,0.074555331,0.126188273,0,0,0.350672122,0.025350684,0.029994001,
3719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.387700789,0,0,0,0,
4562,0,0,4.090389016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.839832034,
4510,0,0,0,0,0.384197778,0,0,0,0.025510204,0,0.515151515,0.463026011,0,0,0.085543199,0,0.029222677,0,0,
5022,0,0,0,0,0,0.005830904,0.007182876,0,0,0.022911257,0,0,0,1.160932111,0,0,0,0,0.0119976,
5284,0,0.029577048,0,0,0.309028648,0,0.021548628,0.015402387,0.025510204,0.007637086,0.161616162,0.081710473,0.457982746,0.008412552,0,0,0,0.177454791,0.053989202,
3605,1.10560427,0,0,0,0,0,0,0,0,0,0.353535354,0,0,0,0,0,0,0,0,
5993,0,0.108449177,0.114416476,0,0,0,0,0.161725067,0.076530612,0,0.101010101,0,0.202364469,0,0.266134398,0.155152703,0,0.033800913,0.059988002,